Origin,Destination,Flight Number,Departure(LT),Arrival(LT),Flight Type,Via,Days of Operation
Pune (PNQ),Chennai (MAA),SW 0918,03:30,05:10,Direct,,Mon Tue Wed Thu Sat Sun
Bhopal (BHO),Pune (PNQ),SW 0257,03:40,05:15,Direct,,Daily
Pune (PNQ),Chandigarh (IXC),SW 0242,03:40,06:00,Direct,,Daily
Mumbai (BOM),Doha (DOH),SW 1303,03:55,05:15,Direct,,Daily
Hyderabad (HYD),Doha (DOH),SW 1313,03:55,06:05,Direct,,Mon Tue Thu Fri Sat Sun
Chennai (MAA),Ahmedabad (AMD),SW 0244,04:00,06:20,Direct,,Daily
Delhi (DEL),Mumbai (BOM),SW 2766,04:00,06:20,Direct,,Daily
Bengaluru (BLR),Doha (DOH),SW 1301,04:05,06:15,Direct,,Daily
Mumbai (BOM),Hyderabad (HYD),SW 0564,04:05,05:30,Direct,,Mon Fri Sat Sun
Ahmedabad (AMD),Bengaluru (BLR),SW 6422,04:10,06:20,Direct,,Daily
Mumbai (BOM),Phuket (HKT),SW 1071,04:10,10:05,Direct,,Daily
Nagpur (NAG),Pune (PNQ),SW 6659,04:10,05:20,Direct,,Daily
Hyderabad (HYD),Bangkok (BKK),SW 1067,04:15,09:10,Direct,,Daily
Singapore (SIN),Coimbatore (CJB),SW 1094,04:15,06:10,Direct,,Daily
Pune (PNQ),Lucknow (LKO),SW 0338,04:15,06:10,Direct,,Daily
Mumbai (BOM),Riyadh (RUH),SW 0073,04:25,06:45,Direct,,Daily
Mumbai (BOM),Varanasi (VNS),SW 0371,04:25,06:30,Direct,,Daily
Mumbai (BOM),Ahmedabad (AMD),SW 0534,04:30,05:35,Direct,,Daily
Pune (PNQ),Coimbatore (CJB),SW 6472,04:30,06:05,Direct,,Daily
Chennai (MAA),Kolkata (CCU),SW 0987,04:35,07:00,Direct,,Daily
Delhi (DEL),Hyderabad (HYD),SW 2255,04:35,06:50,Direct,,Daily
Hyderabad (HYD),Pune (PNQ),SW 0351,04:35,05:45,Direct,,Daily
Ahmedabad (AMD),Mumbai (BOM),SW 5182,04:35,05:55,Direct,,Mon Tue Wed Thu Sun
Chennai (MAA),Bangkok (BKK),SW 1061,04:40,09:50,Direct,,Daily
Delhi (DEL),Nagpur (NAG),SW 2431,04:40,06:25,Direct,,Tue Wed Thu Fri Sat Sun
