Origin,Destination,Flight Number,Departure(LT),Arrival(LT),Flight Type,Via,Days of Operation
Delhi (DEL),Hyderabad (HYD),SW 6019,10:45,13:05,Direct,,Daily
Chennai (MAA),Delhi (DEL),SW 2216,10:45,13:35,Direct,,Daily
Patna (PAT),Delhi (DEL),SW 2134,10:45,12:35,Direct,,Daily
Srinagar (SXR),Amritsar (ATQ),SW 6165,10:45,11:55,Direct,,Daily
Srinagar (SXR),Lucknow (LKO),SW 6165,10:45,13:55,Via,ATQ,Daily
Goa (GOI),Delhi (DEL),SW 2195,10:45,13:15,Direct,,Sun
Hyderabad (HYD),Salem (SXV),SW 7919,10:45,12:35,Direct,,Tue Thu Sat Sun
Ahmedabad (AMD),Patna (PAT),SW 0921,10:50,12:45,Direct,,Daily
Bangkok (BKK),Chennai (MAA),SW 1062,10:50,13:10,Direct,,Daily
Kolkata (CCU),Ranchi (IXR),SW 6152,10:50,11:55,Direct,,Daily
Delhi (DEL),Gwalior (GWL),SW 2117,10:50,12:00,Direct,,Daily
Tiruchirappalli (TRZ),Chennai (MAA),SW 7365,10:50,11:50,Direct,,Daily
Hyderabad (HYD),Ahmedabad (AMD),SW 6338,10:50,12:40,Direct,,Mon Tue Fri Sat Sun
Hyderabad (HYD),Kanpur (KNU),SW 6291,10:50,12:40,Direct,,Mon Wed Fri Sun
Bengaluru (BLR),Tiruchirappalli (TRZ),SW 7711,10:55,12:15,Direct,,Daily
Vijayawada (VGA),Bengaluru (BLR),SW 7072,10:55,12:40,Direct,,Daily
Mangalore (IXE),Mumbai (BOM),SW 6205,10:55,12:40,Direct,,Daily
Mumbai (BOM),Jabalpur (JLR),SW 6431,10:55,12:35,Direct,,Daily
Mumbai (BOM),Lucknow (LKO),SW 2442,10:55,13:10,Direct,,Daily
Kozhikode (CCJ),Hyderabad (HYD),SW 0876,10:55,12:40,Direct,,Daily
Kolkata (CCU),Darbhanga (DBR),SW 7234,10:55,12:20,Direct,,Daily
Agartala (IXA),Kolkata (CCU),SW 0491,10:55,12:05,Direct,,Daily
Kochi (COK),Thiruvananthapuram (TRV),SW 7255,10:55,11:50,Direct,,Daily
Indore (IDR),Delhi (DEL),SW 2322,10:55,12:25,Direct,,Daily
Delhi (DEL),Kathmandu (KTM),SW 1153,10:55,13:05,Direct,,Daily
Ranchi (IXR),Hyderabad (HYD),SW 0398,10:55,12:55,Direct,,Daily
Udaipur (UDR),Hyderabad (HYD),SW 0814,10:55,12:40,Direct,,Daily
Thiruvananthapuram (TRV),Bengaluru (BLR),SW 0661,10:55,12:10,Direct,,Mon Tue Wed Thu Fri Sun
Mumbai (BOM),Delhi (DEL),SW 6827,11:00,13:15,Direct,,Daily
Jaipur (JAI),Kolkata (CCU),SW 6568,11:00,13:05,Direct,,Daily
Delhi (DEL),Deoghar (DGH),SW 2198,11:00,12:50,Direct,,Daily
Khajuraho (HJR),Varanasi (VNS),SW 5082,11:00,11:55,Direct,,Daily
Delhi (DEL),Chennai (MAA),SW 6239,11:00,13:55,Direct,,Daily
Delhi (DEL),Varanasi (VNS),SW 2334,11:00,12:30,Direct,,Daily
Raipur (RPR),Hyderabad (HYD),SW 0197,11:00,12:20,Direct,,Daily
Chennai (MAA),Chandigarh (IXC),SW 6005,11:00,13:55,Direct,,Daily
Ahmedabad (AMD),Aurangabad (IXU),SW 7217,11:00,12:45,Direct,,Daily
Jodhpur (JDH),Jaipur (JAI),SW 7406,11:00,12:05,Direct,,Daily
Kolkata (CCU),Hyderabad (HYD),SW 0334,11:00,13:25,Direct,,Mon Tue Thu Fri Sat Sun
Ahmedabad (AMD),Mumbai (BOM),SW 5327,11:05,12:25,Direct,,Daily
Bengaluru (BLR),Tirupati (TIR),SW 7737,11:05,12:05,Direct,,Daily
Phuket (HKT),Mumbai (BOM),SW 1072,11:05,14:20,Direct,,Daily
Hyderabad (HYD),Vijayawada (VGA),SW 7152,11:05,12:05,Direct,,Daily
Lucknow (LKO),Delhi (DEL),SW 2055,11:05,12:15,Direct,,Mon Tue Thu Fri Sat Sun
Tirupati (TIR),Hyderabad (HYD),SW 0473,11:05,12:10,Direct,,Mon Tue Wed Thu Sat Sun
Jabalpur (JLR),Bengaluru (BLR),SW 6460,11:05,13:00,Direct,,Mon Wed Fri Sun
Chennai (MAA),Tiruchirappalli (TRZ),SW 7047,11:05,12:20,Direct,,Tue Thu Sat Sun
Delhi (DEL),Dibrugarh (DIB),SW 2254,11:05,13:45,Direct,,Wed Sat Sun
Raipur (RPR),Bhubaneshwar (BBI),SW 6521,11:10,12:10,Direct,,Daily
Chennai (MAA),Mumbai (BOM),SW 5214,11:10,13:15,Direct,,Daily
Kochi (COK),Chennai (MAA),SW 0705,11:10,12:15,Direct,,Daily
Delhi (DEL),Goa (GOI),SW 5062,11:10,13:40,Direct,,Daily
Delhi (DEL),Vijayawada (VGA),SW 2263,11:10,13:35,Direct,,Daily
Hyderabad (HYD),Mysuru (MYQ),SW 7126,11:10,13:05,Direct,,Daily
Ahmedabad (AMD),Goa (GOI),SW 6345,11:10,12:40,Direct,,Mon Tue Thu Fri Sat Sun
Kolkata (CCU),Pune (PNQ),SW 0135,11:10,13:50,Direct,,Tue Thu Sun
Kolkata (CCU),Hirasar Airport(HSR),SW 0135,11:10,15:45,Via,PNQ,Every Tue Thu Sun
Ahmedabad (AMD),Diu Airport(DIU),SW 7966,11:15,12:35,Direct,,Daily
Mangalore (IXE),Bengaluru (BLR),SW 6161,11:15,12:10,Direct,,Daily
Kolkata (CCU),Mumbai (BOM),SW 5288,11:15,14:25,Direct,,Daily
Mumbai (BOM),Kathmandu (KTM),SW 1157,11:15,14:05,Direct,,Daily
Kolkata (CCU),Jaipur (JAI),SW 0715,11:15,13:50,Direct,,Daily
Kolkata (CCU),Surat (STV),SW 0715,11:15,16:00,Via,JAI,Daily
Chennai (MAA),Bengaluru (BLR),SW 6892,11:15,12:30,Direct,,Daily
Chennai (MAA),Shirdi (SAG),SW 6892,11:15,14:50,Via,BLR,Daily
Bengaluru (BLR),Agra (AGR),SW 0941,11:15,13:50,Direct,,Mon Wed Fri Sun
Ahmedabad (AMD),Lucknow (LKO),SW 0277,11:20,13:05,Direct,,Daily
Bengaluru (BLR),Colombo (CMB),SW 1167,11:20,12:55,Direct,,Daily
Mumbai (BOM),Goa (GOI),SW 5307,11:20,12:30,Direct,,Daily
Leh (IXL),Delhi (DEL),SW 2584,11:20,12:45,Direct,,Daily
Bagdogra (IXB),Hyderabad (HYD),SW 0347,11:20,13:50,Direct,,Daily
Hyderabad (HYD),Gorakhpur (GOP),SW 0886,11:20,13:25,Direct,,Mon Tue Wed Thu Fri Sun
Hyderabad (HYD),Goa (GOI),SW 0362,11:20,12:30,Direct,,Mon Tue Wed Thu Fri Sun
Delhi (DEL),Bhopal (BHO),SW 2433,11:20,12:35,Direct,,Mon Wed Fri Sat Sun
Salem (SXV),Bengaluru (BLR),SW 7918,11:20,12:15,Direct,,Mon Wed Fri Sun
Mumbai (BOM),Varanasi (VNS),SW 6543,11:20,13:30,Direct,,Mon Wed Fri Sun
Jaipur (JAI),Indore (IDR),SW 7154,11:20,12:50,Direct,,Mon Wed Fri Sun
Jammu (IXJ),Ahmedabad (AMD),SW 6109,11:20,13:25,Direct,,Tue Thu Sat Sun
Ahmedabad (AMD),Jaipur (JAI),SW 7145,11:25,13:00,Direct,,Daily
Hyderabad (HYD),Bhubaneshwar (BBI),SW 6911,11:25,13:00,Direct,,Daily
Dubai (DXB),Mumbai (BOM),SW 1452,11:25,15:55,Direct,,Daily
Chennai (MAA),Tuticorin (TCR),SW 7605,11:25,13:05,Direct,,Daily
Shillong (SHL),Kolkata (CCU),SW 7314,11:25,13:10,Direct,,Thu Sat Sun
Dubai (DXB),Mangalore (IXE),SW 1468,11:25,16:30,Direct,,Tue Thu Sat Sun
Bengaluru (BLR),Mumbai (BOM),SW 5011,11:30,13:30,Direct,,Daily
Mumbai (BOM),Bengaluru (BLR),SW 5217,11:30,13:15,Direct,,Daily
Denspar Airport(DPS),Bengaluru (BLR),SW 1606,11:30,15:30,Direct,,Daily
Bagdogra (IXB),Mumbai (BOM),SW 5275,11:30,14:45,Direct,,Daily
Kolkata (CCU),Chennai (MAA),SW 0833,11:30,13:50,Direct,,Daily
Hyderabad (HYD),Kadapa (CDP),SW 7096,11:30,12:40,Direct,,Daily
Chennai (MAA),Colombo (CMB),SW 1175,11:30,12:50,Direct,,Daily
Chennai (MAA),Patna (PAT),SW 0539,11:30,13:50,Direct,,Daily
Bhubaneshwar (BBI),Durgapur (RDP),SW 7504,11:30,13:10,Direct,,Mon Wed Fri Sun
Bhubaneshwar (BBI),Bagdogra (IXB),SW 7504,11:30,15:20,Via,RDP,Every Mon Wed Fri Sun
Bhopal (BHO),Raipur (RPR),SW 7302,11:35,13:00,Direct,,Daily
Bhopal (BHO),Prayagraj (IXD),SW 7302,11:35,15:00,Via,RPR,Daily
Jaisalmer (JSA),Mumbai (BOM),SW 5143,11:35,13:30,Direct,,Daily
Coimbatore (CJB),Chennai (MAA),SW 6797,11:35,12:35,Direct,,Daily
Coimbatore (CJB),Shirdi (SAG),SW 6797,11:35,15:10,Via,MAA,Daily
Kochi (COK),Hyderabad (HYD),SW 0304,11:35,13:10,Direct,,Daily
Guwahati (GAU),Lucknow (LKO),SW 6552,11:35,13:40,Direct,,Daily
Guwahati (GAU),Chandigarh (IXC),SW 6552,11:35,15:30,Via,LKO,Daily
Varanasi (VNS),Bhubaneshwar (BBI),SW 7036,11:35,13:25,Direct,,Mon Wed Fri Sun
Deoghar (DGH),Patna (PAT),SW 7944,11:35,12:25,Direct,,Mon Wed Fri Sun
Udaipur (UDR),Bengaluru (BLR),SW 0412,11:35,13:45,Direct,,Mon Wed Thu Fri Sat Sun
Hyderabad (HYD),Bengaluru (BLR),SW 6156,11:40,13:05,Direct,,Daily
Patna (PAT),Bengaluru (BLR),SW 0805,11:40,14:10,Direct,,Daily
Chennai (MAA),Lucknow (LKO),SW 0515,11:40,14:10,Direct,,Daily
Chennai (MAA),Dehradun (DED),SW 0515,11:40,15:55,Via,LKO,Daily
Indore (IDR),Jodhpur (JDH),SW 7359,11:40,13:10,Direct,,Daily
Srinagar (SXR),Bengaluru (BLR),SW 6498,11:40,14:55,Direct,,Sun
Coimbatore (CJB),Hyderabad (HYD),SW 6593,11:45,13:05,Direct,,Daily
Coimbatore (CJB),Ahmedabad (AMD),SW 6593,11:45,15:30,Via,HYD,Daily
Kolkata (CCU),Bengaluru (BLR),SW 0235,11:45,14:25,Direct,,Daily
Bengaluru (BLR),Delhi (DEL),SW 0869,11:45,14:40,Direct,,Daily
Delhi (DEL),Bengaluru (BLR),SW 2434,11:45,14:35,Direct,,Daily
Bengaluru (BLR),Thiruvananthapuram (TRV),SW 6144,11:45,13:05,Direct,,Daily
Kolkata (CCU),Delhi (DEL),SW 2213,11:45,14:15,Direct,,Daily
Hyderabad (HYD),Varanasi (VNS),SW 6226,11:45,13:45,Direct,,Daily
Madurai (IXM),Chennai (MAA),SW 7135,11:45,13:05,Direct,,Daily
Tuticorin (TCR),Chennai (MAA),SW 7264,11:45,13:20,Direct,,Daily
Srinagar (SXR),Jammu (IXJ),SW 2356,11:45,12:45,Direct,,Daily
Srinagar (SXR),Delhi (DEL),SW 2356,11:45,14:45,Via,IXJ,Daily
Varanasi (VNS),Hyderabad (HYD),SW 0626,11:45,14:00,Direct,,Mon Tue Wed Thu Fri Sun
Varanasi (VNS),Visakhapatnam (VTZ),SW 0626,11:45,15:55,Via,HYD,Every Mon Tue Wed Thu Fri Sun
Mumbai (BOM),Bareilly (BEK),SW 5316,11:45,14:10,Direct,,Mon Wed Fri Sun
Dubai (DXB),Kochi (COK),SW 1476,11:45,17:10,Direct,,Mon Wed Thu Fri Sat Sun
Jammu (IXJ),Indore (IDR),SW 6738,11:45,14:05,Direct,,Tue Thu Sun
Jammu (IXJ),Bengaluru (BLR),SW 6738,11:45,16:30,Via,IDR,Every Tue Thu Sun
Jaipur (JAI),Bengaluru (BLR),SW 0498,11:50,14:15,Direct,,Daily
Delhi (DEL),Mumbai (BOM),SW 6047,11:50,14:10,Direct,,Daily
Patna (PAT),Delhi (DEL),SW 2074,11:50,13:45,Direct,,Daily
Guwahati (GAU),Kolkata (CCU),SW 0394,11:50,13:15,Direct,,Daily
Guwahati (GAU),Jaipur (JAI),SW 0394,11:50,16:40,Via,CCU,Daily
Hyderabad (HYD),Hubli (HBX),SW 7417,11:50,13:20,Direct,,Daily
Hyderabad (HYD),Visakhapatnam (VTZ),SW 6408,11:50,13:05,Direct,,Daily
Amritsar (ATQ),Ahmedabad (AMD),SW 0127,11:50,13:45,Direct,,Mon Tue Thu Fri Sat Sun
Ahmedabad (AMD),Delhi (DEL),SW 2152,11:50,13:30,Direct,,Mon Tue Thu Fri Sat Sun
Ahmedabad (AMD),Durgapur (RDP),SW 2152,11:50,16:15,Via,DEL,Every Mon Tue Thu Fri Sat Sun
Dehradun (DED),Pune (PNQ),SW 0402,11:50,14:10,Direct,,Mon Tue Wed Thu Fri Sun
Goa (GOI),Ahmedabad (AMD),SW 0112,11:50,13:30,Direct,,Sun
Bhubaneshwar (BBI),Patna (PAT),SW 6485,11:55,13:15,Direct,,Daily
Bhubaneshwar (BBI),Chandigarh (IXC),SW 6485,11:55,15:50,Via,PAT,Daily
Imphal (IMF),Kolkata (CCU),SW 6716,11:55,13:20,Direct,,Daily
Varanasi (VNS),Kolkata (CCU),SW 0507,11:55,13:15,Direct,,Daily
Hyderabad (HYD),Jaipur (JAI),SW 0913,11:55,13:55,Direct,,Daily
Bengaluru (BLR),Bhubaneshwar (BBI),SW 6535,11:55,14:05,Direct,,Mon Tue Thu Fri Sat Sun
Hyderabad (HYD),Kolkata (CCU),SW 0376,11:55,14:00,Direct,,Mon Tue Wed Sun
Vijayawada (VGA),Shirdi (SAG),SW 7422,11:55,14:10,Direct,,Mon Wed Fri Sun
Vijayawada (VGA),Indore (IDR),SW 7422,11:55,15:55,Via,SAG,Every Mon Wed Fri Sun
Vijayawada (VGA),Lucknow (LKO),SW 7422,11:55,18:15,Via,SAG/IDR,Every Mon Wed Fri Sun
Delhi (DEL),Amritsar (ATQ),SW 2086,12:00,13:10,Direct,,Daily
Bengaluru (BLR),Kolkata (CCU),SW 0312,12:00,14:30,Direct,,Daily
Mumbai (BOM),Delhi (DEL),SW 6028,12:00,14:10,Direct,,Daily
Mumbai (BOM),Hyderabad (HYD),SW 5097,12:00,13:25,Direct,,Daily
Kolkata (CCU),Goa (GOI),SW 0634,12:00,14:45,Direct,,Daily
Delhi (DEL),Goa (GOI),SW 5366,12:00,14:25,Direct,,Daily
Jammu (IXJ),Srinagar (SXR),SW 2137,12:00,12:45,Direct,,Daily
Jammu (IXJ),Delhi (DEL),SW 2137,12:00,15:00,Via,SXR,Daily
Delhi (DEL),Pantnagar (PGH),SW 7324,12:00,13:00,Direct,,Daily
Delhi (DEL),Raipur (RPR),SW 2206,12:00,13:45,Direct,,Daily
Chennai (MAA),Madurai (IXM),SW 7124,12:00,13:20,Direct,,Daily
Chennai (MAA),Ahmedabad (AMD),SW 6374,12:00,14:15,Direct,,Mon Tue Thu Fri Sat Sun
Hyderabad (HYD),Colombo (CMB),SW 1181,12:00,14:00,Direct,,Mon Tue Thu Fri Sat Sun
Kolhapur (KLH),Hyderabad (HYD),SW 7564,12:00,13:15,Direct,,Mon Tue Wed Thu Sat Sun
Kolhapur (KLH),Tirupati (TIR),SW 7564,12:00,15:10,Via,HYD,Every Mon Tue Wed Thu Sat Sun
Udaipur (UDR),Jaipur (JAI),SW 7753,12:00,13:05,Direct,,Sun
Mumbai (BOM),Gwalior (GWL),SW 2084,12:05,14:00,Direct,,Daily
Mumbai (BOM),Chennai (MAA),SW 5303,12:05,13:55,Direct,,Daily
Thiruvananthapuram (TRV),Mumbai (BOM),SW 6108,12:05,14:25,Direct,,Daily
Jabalpur (JLR),Delhi (DEL),SW 2097,12:05,13:40,Direct,,Daily
Hyderabad (HYD),Gondia Airport(GDB),SW 7696,12:05,13:50,Direct,,Daily
Hyderabad (HYD),Tirupati (TIR),SW 2005,12:05,13:10,Direct,,Daily
Jammu (IXJ),Leh (IXL),SW 0293,12:05,12:50,Direct,,Sun
Hyderabad (HYD),Darbhanga (DBR),SW 0537,12:10,14:15,Direct,,Daily
Madurai (IXM),Bengaluru (BLR),SW 7163,12:10,13:35,Direct,,Daily
Hirasar Airport(HSR),Mumbai (BOM),SW 6259,12:10,13:20,Direct,,Daily
Kolkata (CCU),Silchar (IXS),SW 2513,12:10,13:20,Direct,,Daily
Chennai (MAA),Kolkata (CCU),SW 6326,12:10,14:20,Direct,,Daily
Thiruvananthapuram (TRV),Kochi (COK),SW 7256,12:10,13:05,Direct,,Daily
Thiruvananthapuram (TRV),Kannur (CNN),SW 7256,12:10,14:20,Via,COK,Daily
Kannur (CNN),Chennai (MAA),SW 6074,12:10,13:25,Direct,,Daily
Delhi (DEL),Agartala (IXA),SW 2182,12:10,14:30,Direct,,Daily
Patna (PAT),Ranchi (IXR),SW 6902,12:10,13:00,Direct,,Mon Tue Thu Fri Sat Sun
Pune (PNQ),Hyderabad (HYD),SW 0407,12:10,13:20,Direct,,Mon Tue Wed Thu Fri Sun
Male (MLE),Kochi (COK),SW 1134,12:10,14:10,Direct,,Mon Wed Thu Fri Sat Sun
Amritsar (ATQ),Sharjah (SHJ),SW 1427,12:15,14:35,Direct,,Daily
Varanasi (VNS),Bengaluru (BLR),SW 0439,12:15,14:50,Direct,,Daily
Hyderabad (HYD),Mumbai (BOM),SW 5384,12:15,13:55,Direct,,Daily
Dubai (DXB),Delhi (DEL),SW 1462,12:15,17:05,Direct,,Daily
GAYA (GAY),Delhi (DEL),SW 2416,12:15,14:05,Direct,,Daily
Delhi (DEL),Hyderabad (HYD),SW 2052,12:15,14:35,Direct,,Daily
Delhi (DEL),Chennai (MAA),SW 0434,12:15,15:20,Direct,,Daily
Rajahmundry (RJA),Hyderabad (HYD),SW 7229,12:15,13:25,Direct,,Daily
Mumbai (BOM),Colombo (CMB),SW 1185,12:15,15:00,Direct,,Mon Tue Thu Fri Sat Sun
Pune (PNQ),Jodhpur (JDH),SW 0133,12:15,13:55,Direct,,Mon Tue Wed Thu Fri Sun
Hyderabad (HYD),Delhi (DEL),SW 2234,12:15,14:35,Direct,,Mon Tue Wed Thu Sat Sun
Chennai (MAA),Hyderabad (HYD),SW 6925,12:15,13:30,Direct,,Mon Wed Fri Sun
Chennai (MAA),Agartala (IXA),SW 6925,12:15,16:35,Via,HYD,Every Mon Wed Fri Sun
Bengaluru (BLR),Visakhapatnam (VTZ),SW 6336,12:20,13:55,Direct,,Daily
Chennai (MAA),Coimbatore (CJB),SW 0927,12:20,13:25,Direct,,Daily
Indore (IDR),Goa (GOI),SW 6219,12:20,13:55,Direct,,Daily
Shirdi (SAG),Vijayawada (VGA),SW 7439,12:20,14:25,Direct,,Daily
Shirdi (SAG),Tirupati (TIR),SW 7439,12:20,16:00,Via,VGA,Daily
Vijayawada (VGA),Chennai (MAA),SW 7411,12:20,13:40,Direct,,Daily
Delhi (DEL),Aizawl (AJL),SW 2078,12:25,14:55,Direct,,Daily
Gorakhpur (GOP),Delhi (DEL),SW 5105,12:25,13:55,Direct,,Daily
Varanasi (VNS),Khajuraho (HJR),SW 2083,12:25,13:20,Direct,,Daily
Varanasi (VNS),Delhi (DEL),SW 2083,12:25,15:00,Via,HJR,Daily
Jaipur (JAI),Lucknow (LKO),SW 7482,12:25,14:05,Direct,,Daily
Amritsar (ATQ),Lucknow (LKO),SW 6165,12:25,13:55,Direct,,Daily
Visakhapatnam (VTZ),Chennai (MAA),SW 0881,12:25,13:45,Direct,,Daily
Tirupati (TIR),Visakhapatnam (VTZ),SW 7064,12:25,14:10,Direct,,Daily
Kochi (COK),Ahmedabad (AMD),SW 6392,12:25,14:50,Direct,,Mon Tue Thu Fri Sat Sun
Bhubaneshwar (BBI),Delhi (DEL),SW 2616,12:30,14:55,Direct,,Daily
Bagdogra (IXB),Bengaluru (BLR),SW 0445,12:30,15:30,Direct,,Daily
Ranchi (IXR),Kolkata (CCU),SW 6893,12:30,13:35,Direct,,Daily
Delhi (DEL),Dhaka (DAC),SW 1103,12:30,15:25,Direct,,Daily
Delhi (DEL),Ranchi (IXR),SW 5071,12:30,14:20,Direct,,Daily
Jodhpur (JDH),Delhi (DEL),SW 2034,12:30,13:45,Direct,,Daily
Delhi (DEL),Jaisalmer (JSA),SW 2557,12:30,14:20,Direct,,Daily
Visakhapatnam (VTZ),Hyderabad (HYD),SW 6645,12:30,13:45,Direct,,Daily
Hyderabad (HYD),Durgapur (RDP),SW 0834,12:30,14:25,Direct,,Daily
Bengaluru (BLR),Varanasi (VNS),SW 0897,12:30,14:55,Direct,,Mon Tue Wed Thu Sat Sun
Indore (IDR),Hyderabad (HYD),SW 0511,12:30,13:50,Direct,,Mon Tue Wed Thu Sun
Tiruchirappalli (TRZ),Bengaluru (BLR),SW 7712,12:35,13:50,Direct,,Daily
Gwalior (GWL),Delhi (DEL),SW 2118,12:35,13:35,Direct,,Daily
Bhubaneshwar (BBI),Raipur (RPR),SW 6522,12:40,13:55,Direct,,Daily
Bhubaneshwar (BBI),Lucknow (LKO),SW 6522,12:40,15:45,Via,RPR,Daily
Chennai (MAA),Tiruchirappalli (TRZ),SW 7028,12:40,13:55,Direct,,Daily
Delhi (DEL),Srinagar (SXR),SW 2044,12:40,14:15,Direct,,Mon Tue Thu Fri Sat Sun
Delhi (DEL),Jammu (IXJ),SW 2044,12:40,15:50,Via,SXR,Every Mon Tue Thu Fri Sat Sun
Delhi (DEL),Delhi (DEL),SW 2044,12:40,17:50,Via,SXR/IXJ,Every Mon Tue Thu Fri Sat Sun
Bengaluru (BLR),Hyderabad (HYD),SW 6491,12:40,14:00,Direct,,Mon Wed Thu Fri Sat Sun
Tiruchirappalli (TRZ),Chennai (MAA),SW 7048,12:40,13:40,Direct,,Tue Thu Sat Sun
Mumbai (BOM),Bengaluru (BLR),SW 5212,12:45,14:35,Direct,,Daily
Phuket (HKT),Bengaluru (BLR),SW 1078,12:45,15:05,Direct,,Daily
Bengaluru (BLR),Hirasar Airport(HSR),SW 6507,12:45,14:55,Direct,,Daily
Bengaluru (BLR),Shivamogga (RQY),SW 7731,12:45,13:55,Direct,,Daily
Vijayawada (VGA),Bengaluru (BLR),SW 7224,12:45,14:25,Direct,,Daily
Jaipur (JAI),Mumbai (BOM),SW 5235,12:45,14:35,Direct,,Daily
Mumbai (BOM),Kanpur (KNU),SW 6076,12:45,14:50,Direct,,Daily
Chennai (MAA),Mumbai (BOM),SW 5258,12:45,14:50,Direct,,Daily
Kolkata (CCU),Jorhat (JRH),SW 0326,12:45,14:10,Direct,,Daily
Durgapur (RDP),Chennai (MAA),SW 0982,12:45,15:15,Direct,,Daily
Durgapur (RDP),Coimbatore (CJB),SW 0982,12:45,17:05,Via,MAA,Daily
Hyderabad (HYD),Goa (GOI),SW 0905,12:45,13:55,Direct,,Daily
Kolkata (CCU),Hollongi (HGI),SW 6749,12:45,14:10,Direct,,Mon Tue Wed Thu Fri Sun
Patna (PAT),Deoghar (DGH),SW 7945,12:45,13:40,Direct,,Mon Wed Fri Sun
Lucknow (LKO),Mumbai (BOM),SW 5263,12:45,15:05,Direct,,Sun
Bengaluru (BLR),Mumbai (BOM),SW 5293,12:50,14:40,Direct,,Daily
Mumbai (BOM),Patna (PAT),SW 2043,12:50,15:10,Direct,,Daily
Darbhanga (DBR),Kolkata (CCU),SW 7116,12:50,14:10,Direct,,Daily
Kolkata (CCU),Visakhapatnam (VTZ),SW 0512,12:50,14:20,Direct,,Daily
Guwahati (GAU),Silchar (IXS),SW 2022,12:50,13:45,Direct,,Daily
Bengaluru (BLR),Surat (STV),SW 0465,12:50,14:50,Direct,,Mon Tue Wed Thu Fri Sun
Hyderabad (HYD),Madurai (IXM),SW 6781,12:50,14:25,Direct,,Mon Tue Wed Thu Sat Sun
Guwahati (GAU),Aizawl (AJL),SW 0457,12:55,13:55,Direct,,Daily
Kolkata (CCU),Bagdogra (IXB),SW 0751,12:55,14:05,Direct,,Daily
Deoghar (DGH),Bengaluru (BLR),SW 6437,12:55,15:30,Direct,,Daily
Mumbai (BOM),Coimbatore (CJB),SW 5041,12:55,14:50,Direct,,Daily
Delhi (DEL),Kolkata (CCU),SW 5042,12:55,15:10,Direct,,Daily
Dimapur (DMU),Delhi (DEL),SW 2081,12:55,16:05,Direct,,Daily
Delhi (DEL),Kanpur (KNU),SW 2056,12:55,14:00,Direct,,Daily
Guwahati (GAU),Agartala (IXA),SW 6309,12:55,13:50,Direct,,Mon Tue Wed Thu Sun
Delhi (DEL),Kochi (COK),SW 0315,12:55,16:00,Direct,,Mon Wed Thu Fri Sat Sun
Salem (SXV),Hyderabad (HYD),SW 7923,12:55,14:35,Direct,,Tue Thu Sat Sun
Bengaluru (BLR),Delhi (DEL),SW 6401,13:00,15:50,Direct,,Daily
Delhi (DEL),Bengaluru (BLR),SW 6188,13:00,15:45,Direct,,Daily
Delhi (DEL),Mumbai (BOM),SW 6051,13:00,15:20,Direct,,Daily
Delhi (DEL),Bagdogra (IXB),SW 2239,13:00,14:55,Direct,,Daily
Varanasi (VNS),Delhi (DEL),SW 2321,13:00,14:30,Direct,,Daily
Diu Airport(DIU),Surat (STV),SW 7967,13:00,13:50,Direct,,Daily
Goa (GOI),Hyderabad (HYD),SW 0374,13:00,14:20,Direct,,Mon Tue Wed Thu Fri Sun
Hyderabad (HYD),Ayodhya (AYJ),SW 0931,13:00,15:00,Direct,,Mon Wed Fri Sun
Kadapa (CDP),Chennai (MAA),SW 7269,13:00,14:00,Direct,,Mon Wed Fri Sun
Jharsuguda (JRG),Bengaluru (BLR),SW 0128,13:00,14:55,Direct,,Mon Wed Thu Fri Sat Sun
Chennai (MAA),Kochi (COK),SW 0447,13:00,14:15,Direct,,Mon Wed Thu Fri Sat Sun
Bangkok (BKK),Bengaluru (BLR),SW 1056,13:05,15:40,Direct,,Daily
Mumbai (BOM),Delhi (DEL),SW 0615,13:05,15:10,Direct,,Daily
Guwahati (GAU),Imphal (IMF),SW 0228,13:05,14:10,Direct,,Daily
Goa (GOI),Mumbai (BOM),SW 6097,13:05,14:30,Direct,,Daily
Jabalpur (JLR),Mumbai (BOM),SW 6678,13:05,14:55,Direct,,Daily
Chennai (MAA),Delhi (DEL),SW 0452,13:05,15:55,Direct,,Daily
Amritsar (ATQ),Srinagar (SXR),SW 6288,13:05,14:05,Direct,,Daily
Pune (PNQ),Delhi (DEL),SW 2248,13:05,15:20,Direct,,Mon Tue Wed Thu Fri Sun
Bhopal (BHO),Delhi (DEL),SW 5083,13:05,14:25,Direct,,Mon Wed Fri Sat Sun
Agartala (IXA),Imphal (IMF),SW 0524,13:05,14:00,Direct,,Mon Wed Fri Sun
Dehradun (DED),Kolkata (CCU),SW 6344,13:05,15:10,Direct,,Mon Wed Fri Sun
Dehradun (DED),Guwahati (GAU),SW 6344,13:05,17:30,Via,CCU,Every Mon Wed Fri Sun
Bengaluru (BLR),Lucknow (LKO),SW 0196,13:10,15:35,Direct,,Daily
Bengaluru (BLR),Male (MLE),SW 1127,13:10,14:40,Direct,,Daily
Bengaluru (BLR),Tuticorin (TCR),SW 7735,13:10,14:55,Direct,,Daily
Goa (GOI),Delhi (DEL),SW 2091,13:10,15:40,Direct,,Daily
Guwahati (GAU),Dibrugarh (DIB),SW 0972,13:10,14:00,Direct,,Daily
Bengaluru (BLR),Shirdi (SAG),SW 6892,13:10,14:50,Direct,,Daily
Bagdogra (IXB),Hyderabad (HYD),SW 0619,13:10,15:45,Direct,,Mon Tue Wed Fri Sat Sun
